"song","artist","rank","weeks_on_board"
"If Nobody Believed In You","Joe Nichols",361,14
"If Not For You","Olivia Newton-John",901,17
"If Not You","Dr. Hook",262,11
"If Only","Dove Cameron",9,2
"If Only I Had My Mind On Something Else","Bee Gees",17,3
"If Only You Knew","Patti LaBelle",407,13
"If Pain Was A Person","Moneybagg Yo",52,2
"If She Knew What She Wants","The Bangles",698,14
"If She Should Come To You (La Montana)","Anthony Newley",91,5
"If She Would Have Been Faithful. . .","Chicago",1047,19
"If Somebody Told You","Anna King",161,6
"If Something Should Happen","Darryl Worley",143,9
"If That's Your Boyfriend (He Wasn't Last Night)","MeShell Ndegeocello",129,6
"If The Boot Fits","Granger Smith",39,3
"If The Love Fits Wear It","Leslie Pearl",773,16
"If The World Was Ending","JP Saxe Featuring Julia Michaels",1342,29
"If This Is It","Huey Lewis & The News",1214,17
"If This Is Love (I'd Rather Be Lonely)","The Precisions",203,6
"If This Isn't Love","Jennifer Hudson",234,13
"If This Was A Movie","Taylor Swift",139,2
"If This World Were Mine","Marvin Gaye & Tammi Terrell",168,6
"If Today Was Your Last Day","Nickelback",1327,22
"If Tomorrow Never Comes","Joose",519,17
"If U Seek Amy","Britney Spears",1198,20
"If U Stay Ready","Suga Free",137,13
"If U Were Mine","The U-Krew",1018,22
"If Walls Could Talk","Little Milton",111,5
"If We Ever Meet Again","Timbaland Featuring Katy Perry",787,18
"If We Fall In Love Tonight","Rod Stewart",765,20
"If We Make It Through December","Merle Haggard",457,11
"If We Never Meet Again","Tommy Conwell And The Young Rumblers",371,11
"If We Only Have Love","Dionne Warwicke",43,3
"If We Try","Don McLean",234,7
"If We Were A Movie","Hannah Montana",228,8
"If Wishes Came True","Sweet Sensation",1439,20
"If You're Going Through Hell (Before The Devil Even Knows)","Rodney Atkins",864,20
"If You're Gone","matchbox twenty",3253,42
"If You're Not Back In Love By Monday","Millie Jackson",486,11
"If You're Not The One","Daniel Bedingfield",1388,20
"If You're Reading This","Tim McGraw",774,18
"If You're Ready (Come Go With Me)","The Staple Singers",1112,16
"If You're Serious","Riff",42,5
"If You've Got A Heart","Bobby Bland",9,2
"If You've Got A Heart","Bobby Goldsboro",254,8
"If You've Got The Time","The Babys",26,2
"If You (Lovin' Me)","Silk",1416,20
"If You Asked Me To","Celine Dion",1708,22
"If You Asked Me To (From ""Licence To Kill"")","Patti LaBelle",93,5
"If You Can't Give Me Love","Suzi Quatro",301,8
"If You Can't Rock Me","Ricky Nelson",1,1
"If You Can Beat Me Rockin' (You Can Have My Chair)","Laura Lee",196,8
"If You Can Do Anything Else","George Strait",646,18
"If You Can Want","Smokey Robinson & The Miracles",875,12
"If You Could Read My Mind","Gordon Lightfoot",1099,15
"If You Could Read My Mind","Stars On 54: Ultra Nate, Amber, Jocelyn Enriquez",526,15
"If You Do Believe In Love","The Tee Set",52,4
"If You Don't (Love Me, Tell Me So)","Barbara Mason",24,3
"If You Don't Know Me By Now","Harold Melvin And The Blue Notes",1187,17
"If You Don't Know Me By Now","Simply Red",1502,22
"If You Don't Wanna Love Me","Tamar Braxton",44,6
"If You Don't Want My Love","Robert John",454,12
"If You Don't Want My Lovin'","Carl Dobkins, Jr.",77,3
"If You Ever Have Forever In Mind","Vince Gill",339,13
"If You Ever Leave Me","Jack Jones",18,2
"If You Ever Stop Loving Me","Montgomery Gentry",899,20
"If You Feel It","Denise Lopez",16,3
"If You Go","Jon Secada",2426,31
"If You Go Away","Damita Jo",228,10
"If You Go Away","NKOTB",723,13
"If You Go Away","Terry Jacks",111,5
"If You Gotta Break Another Heart","Albert Hammond",174,6
"If You Gotta Make A Fool Of Somebody","James Ray",758,14
"If You Gotta Make A Fool Of Somebody","Maxine Brown",203,9
"If You Had My Love","Jennifer Lopez",2071,25
"If You Know What I Mean","Neil Diamond",879,12
"If You Know You Know","Pusha T",28,1
"If You Leave","Orchestral Manoeuvres In The Dark",1338,20
"If You Leave Me Now","Chicago",1583,21
"If You Leave Me Now","Jaya",1064,26
"If You Leave Me Tonight I'll Cry","Jerry Wallace",432,9
"If You Let Me","Eddie Kendricks",226,8
"If You Let Me Stay","Terence Trent D'Arby",166,8
"If You Love Me","Brownstone",2005,27
"If You Love Me","LaVern Baker",25,2
"If You Love Me","Mint Condition",894,20
"If You Love Me (let Me Know)","Olivia Newton-John",1306,20
"If You Love Somebody Set Them Free","Sting",1310,18
"If You Need Me","Fats Domino",3,1
"If You Need Me","Solomon Burke",446,11
"If You Need Me","Wilson Pickett",158,6
"If You Needed Somebody","Bad Company",1186,24
"If You Only Believe (Jesus For Tonite)","Michel Polnareff",261,7
"If You Only Knew","Shinedown",947,20
"If You Really Love Me","Stevie Wonder",1022,14
"If You Really Want Me To, I'll Go","The Ron-Dels",4,1
"If You Remember Me","Chris Thompson & Night",992,19
"If You See My Love","Lenny Welch",13,2
"If You Should Sail","Nielsen/Pearson",570,14
"If You Talk In Your Sleep","Elvis Presley",722,13
"If You Think I'm Jiggy","The Lox",543,13
"If You Think You're Lonely Now","K-Ci Hailey",835,16
"If You Think You Know How To Love Me","Smokey",13,3
"If You Wait For Love","Bobby Goldsboro",86,5
"If You Wanna Be Happy","Jimmy Soul",1077,14
"If You Wanna Do A Dance","The Spinners",211,6
"If You Wanna Get Back Your Lady","The Pointer Sisters",136,5
"If You Wanna Get To Heaven","Ozark Mountain Daredevils",704,16
"If You Want It","2nd II None",313,16
"If You Want It","Niteflyte",487,13
"If You Want Me To Stay","Sly & The Family Stone",1216,17
"If You Want My Love","Cheap Trick",411,11
"If You Want This Love","Sonny Knight",167,9
"If You Want To","Lil Baby & Lil Durk",2,1
"If You Were A Rock And Roll Record","Freddy Cannon",128,5
"If You Were A Woman (And I Was A Man)","Bonnie Tyler",87,6
"If You Were Mine","Marcos Hernandez",119,8
"If You Were Mine","Ray Charles",729,18
"If Your Girl Only Knew","Aaliyah",1440,20
"If Your Heart Isn't In It","Atlantic Starr",329,12
"IfULeave","Musiq Soulchild Featuring Mary J. Blige",219,12
"Igmoo (The Pride Of South Central High)","Stonewall Jackson",11,2
"Ignition","R. Kelly",3177,42
"Ignorance","Paramore",34,1
"Ignorantes","Bad Bunny & Sech",92,3
"Igor's Theme","Tyler, The Creator",34,1
"Iko Iko","Dr. John",107,5
"Iko Iko","The Dixie Cups",561,10
"Iko Iko (From ""Rain Man"")","The Belle Stars",1057,18
"Illegal Alien","Genesis",372,10
"Illicit Affairs","Taylor Swift",57,1
"Ilomilo","Billie Eilish",39,1
"ily","Surf Mesa Featuring Emilee",1109,28
"Ima Boss","Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",72,2
"Image - Part 1","Hank Levine And Orchestra",3,1
"Image Of A Girl","Safaris with The Phantom's Band",1193,18
"Imaginary Lover","Atlanta Rhythm Section",1180,17
"Imagination","Belouis Some",40,5
"Imagination","Tamia",900,20
"Imagination","Xymox",27,3
"Imagine","Ariana Grande",314,8
"Imagine","David Archuleta",65,1
"Imagine","Glee Cast",34,1
"Imagine","Jack Johnson",19,2
"Imagine","John Lennon Plastic Ono Band",821,9
"Imagine","Sawyer Fredericks",3,1
"Imagine","Tracie Spencer",42,4
"Imagine That","LL Cool J",5,2
"Imagine That","Patsy Cline",20,2
"Imitadora","Romeo Santos",10,1
"Imitation Of Life","R.E.M.",37,5
"Imma Be","The Black Eyed Peas",2070,27
"Imma Put It On Her","DAY26 Featuring P. Diddy & Yung Joc",52,3
"Imma Star (Everywhere We Are)","Jeremih",706,20
"Immigrant Song","Led Zeppelin",862,13
"Immigration Man","Graham Nash & David Crosby",452,9
"Immortal","21 Savage",47,2
"Immortal","J. Cole",188,5
"Immortals","Fall Out Boy",127,8
"Impacto","Daddy Yankee Featuring Fergie",151,7
"Impossible","Gloria Lynne",16,4
"Impossible","Shontelle",1321,20
"Impossible Mission (Mission Impossible)","Soul Survivors",186,6
"Impulsive","Wilson Phillips",1463,20
"IMY2","Drake Featuring Kid Cudi",108,2
"In-A-Gadda-Da-Vida","Iron Butterfly",810,17
"In A Big Country","Big Country",942,15
"In A Broken Dream","Python Lee Jackson",297,10
"In A Dream","Rockell",236,20
"In A Little While","Uncle Kracker",527,20
"In A Moment","The Intrigues",647,14
"In A Real Love","Phil Vassar",778,20
"In America","The Charlie Daniels Band",925,15
"In And Out Of Love","Bon Jovi",124,6
"In And Out Of Love","Diana Ross & The Supremes",603,8
"In Another Land","Bill Wyman",57,5
"In Another World","Joe Diffie",263,11
"In Between","Scotty McCreery",331,13
"In Between Days","The Cure",2,1
"In Between Tears","Lenny Miles",29,2
"In Case You Didn't Know","Brett Young",1537,28
"In Color","Jamey Johnson",543,18
"In Control","YoungBoy Never Broke Again",43,2
"In Da Club","50 Cent",2577,30
"In Da Getto","J Balvin & Skrillex",23,3
"In Da Wind","Trick Daddy Featuring Cee-Lo & Big Boi",315,18
"In Dreams","Roy Orbison",979,13
"In For The Night","The Dirt Band",37,3
"In France They Kiss On Main Street","Joni Mitchell",129,4
"In God's Country","U2",469,12
"In Harm's Way","BeBe Winans",152,12
"In Heaven There Is No Beer","Clean Living",501,12
"In It For Love","England Dan & John Ford Coley",75,4
"In Love Wit Chu","Da Brat Featuring Cherish",479,16
"In Love With A Girl","Gavin DeGraw",1197,23
"In Love With Love","Debbie Harry",143,7
"In My Arms","Erasure",198,8
"In My Bed","Dru Hill",1973,25
"In My Blood","Shawn Mendes",1639,23
"In My Daughter's Eyes","Martina McBride",643,16
"In My Dreams","Dokken",98,7
"In My Dreams","REO Speedwagon",1284,30
"In My Dreams","The Party",656,18
"In My Eyes","Stevie B",732,17
"In My Feelings","Drake",2001,22
"In My Head","Ariana Grande",90,2
"In My Head","Jason Derulo",2630,34
"In My Heart","The Timetones",170,5
"In My House","Mary Jane Girls",1336,22
"In My Life","Juvenile Featuring Mannie Fresh",545,17
"In My Little Corner Of The World","Anita Bryant",947,14
"In My Lonely Room","Martha & The Vandellas",264,6
"In My Mind","Heather Headley",225,15
"In My Nature","Nuttin' Nyce",56,6
"In My Room","Frank Ocean",16,1
"In My Room","Sagittarius",27,2
"In My Room","The Beach Boys",629,11
"In My Room (El Amor)","Verdelle Smith",190,7
"In Need Of A Friend","The Cowsills",216,6
"In Neon","Elton John",592,13
"In Our Time","Nancy Sinatra",235,6
"In Paradise","Laissez Faire",424,17
"In Some Time","Ronnie Dove",5,3
"In The Air Tonight","Phil Collins",889,17
"In The Arms Of Love","Andy Williams",338,8
"In The Ayer","Flo Rida Featuring will.i.am",1480,21
"In The Bad, Bad Old Days (Before You Loved Me)","The Foundations",293,7
"In The Basement - Part 1","Etta James & Sugar Pie DeSanto",7,2
"In The Bible","Drake Featuring Lil Durk & Giveon",307,8
"In The Bottle","Brother To Brother",208,7
"In The Bush","Musique",380,13
"In The Chapel In The Moonlight","Dean Martin",441,7
"In The Closet","Michael Jackson",1215,20
"In The Dark","Billy Squier",495,12
"In The Dark","Dev",1452,20
"In The Deep","Bird York",37,1
"In The Driver's Seat","John Schneider",95,6
"In The End","Linkin Park",2970,39
"In The Ghetto","Candi Staton",467,11
"In The Ghetto","Elvis Presley",1053,13
"In The Heart Of A Woman","Billy Ray Cyrus",149,10
"In The Heat Of The Night","Ray Charles",328,7
"In The Hood","Donell Jones",128,8
"In The House Of Stone And Light","Martin Page",2313,35
"In The Kitchen","R. Kelly",32,5
"In The Meantime","Georgie Fame And The Blue Flames",8,2
"In The Meantime","Spacehog",771,20
"In The Middle","Tim Moore",72,3
"In The Middle Of A Heartache","Wanda Jackson",454,10
"In The Midnight Hour","Cross Country",572,12
"In The Midnight Hour","Samantha Sang",24,2
"In The Midnight Hour","The Mirettes",324,7
"In The Midnight Hour","Wilson Pickett",638,12
"In The Misty Moonlight","Dean Martin",308,7
"In The Misty Moonlight","Jerry Wallace",693,11
"In The Mood","Bette Midler",277,7
"In The Mood","Ernie Fields & Orch.",1366,19
"In The Mood","Henhouse Five Plus Too",341,7
"In The Mood","Robert Plant",572,12
"In The Name Of Love","Martin Garrix & Bebe Rexha",1361,23
"In The Name Of Love","Ralph MacDonald With Bill Withers",233,10
"In The Navy","Village People",1240,18
"In The Night","The Weeknd",1393,20
"In The Quiet Morning","Joan Baez",201,8
"In The Rain","The Dramatics",1026,13
"In The Shape Of A Heart","Jackson Browne",137,7
"In The Still Of The Night","Dion & The Belmonts",293,7
"In The Still Of The Night","Paul Anka",167,6
"In The Still Of The Nite","The Five Satins",55,5
"In The Still Of The Nite (From ""The Jacksons"")","Boyz II Men",1681,20
"In The Stone","Earth, Wind & Fire",250,7
"In The Summer Of His Years","Connie Francis",248,6
"In The Summertime","Mungo Jerry",1027,13
"In The Sun","Michael Stipe",32,1
"In The Time Of Our Lives","Iron Butterfly",9,2
"In The Year 2525","Zager & Evans",1121,13
"In Thee","Blue Oyster Cult",79,4
"In These Arms","Bon Jovi",799,16
"In These Changing Times","Four Tops",103,4
"In This Moment","David Archuleta",41,1
"In Those Jeans","Ginuwine",1400,20
"In Time","Engelbert Humperdinck",202,8
"In Time","Steve Lawrence",7,1
"In Too Deep","Eminem",30,1
"In Too Deep","Genesis",1208,17
"In Walked Love","Expose",72,6
"In Your Arms","Little Caesar",86,5
"In Your Arms","Nico & Vinz",230,12
"In Your Eyes","The Weeknd",710,15
"In Your Eyes (Theme From ""Say Anything"")","Peter Gabriel",1293,28
"In Your Letter","REO Speedwagon",716,13
"In Your Room","The Bangles",1307,20
"In Your Soul","Corey Hart",414,10
"Incarcerated Scarfaces/Ice Cream","Raekwon",669,18
"Incense And Peppermints","Strawberry Alarm Clock",1306,16
"Incomplete","Backstreet Boys",1327,20
"Incomplete","Sisqo",1994,26
"Inconsolable","Backstreet Boys",20,2
"Independent","Webbie Featuring Lil' Phat & Lil' Boosie",1671,25
"Independent Women Part I","Destiny's Child",2413,28
"Indescribably Blue","Elvis Presley With The Jordanaires and The Imperials Quartet",433,8
"Indestructible","Disturbed",29,1
"Indestructible","Four Tops",460,11
"Indian Giver","1910 Fruitgum Co.",992,13
"Indian Lake","The Cowsills",917,13
"Indian Love Call","Ray Stevens",98,5
"Indian Outlaw","Tim McGraw",1036,20
"Indian Reservation (The Lament Of The Cherokee Reservation Indian)","The Raiders",1566,22
"Indian Summer","Audience",102,5
"Indian Summer","Poco",212,8
"Indiana Wants Me","R. Dean Taylor",1187,15
"Indica Badu","Logic Featuring Wiz Khalifa",45,1
"Indo Smoke (From ""Poetic Justice"")","Mista Grimm",520,20
"Industrial Disease","Dire Straits",68,4
"Industry Baby","Lil Nas X & Jack Harlow",1338,14
"Infatuation","Jamie Foxx",10,2
"Infatuation","Rod Stewart",1285,18
"Infinite","Eminem",4,1
"Infinity","Mariah Carey",19,1
"Infinity","One Direction",63,2
"Infinity (888)","XXXTENTACION Featuring Joey Bada$$",18,1
"Information","Eric Martin",25,2
"Informer","Snow",2002,25
"Infrared","Pusha T",36,1
"Injured In The Game of Love","Donnie Iris",18,2
"Inky Dinky Spider (The Spider Song)","The Kids Next Door",44,3
"Inmortal","Aventura",6,1
"Inner City Blues (Make Me Wanna Holler)","Marvin Gaye",691,9
"Innocent","Taylor Swift",74,1
"Innocent","The Whispers",308,11
"Innocent Child","Colourhaus",281,10
"Innocent Eyes","Graham Nash",78,7
"Insane","Eminem",16,1
"Insane In The Brain","Cypress Hill",1359,20
"Insatiable","Darren Hayes",131,7
"Insatiable","Prince And The N.P.G.",108,7
"Insensitive (From ""Bed Of Roses"")","Jann Arden",2705,40
"Inseparable","Natalie Cole",830,17
"Inside-Looking Out","The Animals",318,7
"Inside A Dream","Jane Wiedlin",190,7
"Inside Love (so Personal)","George Benson",372,10
"Inside My Love","Minnie Riperton",82,4
"Inside Of You","Ray, Goodman & Brown",69,4
"Inside Out","Eve 6",933,14
"Inside Outside","The Cover Girls",360,13
"Inside That I Cried","CeCe Peniston",13,3
"Inside The Fire","Disturbed",251,15
"Inside Your Heaven","Bo Bice",449,7
"Inside Your Heaven","Carrie Underwood",727,12
"Insomnia","Faithless",396,19
"Instant Karma (We All Shine On)","John Ono Lennon",1121,13
"Instant Replay","Dan Hartman",775,17
"Institutionalized","Kendrick Lamar Featuring Bilal, Anna Wise & Snoop Dogg",2,1
"Insult To Injury","Timi Yuro",20,1
"Int'l Players Anthem (I Choose You)","UGK Featuring OutKast",205,9
"Intentions","Justin Bieber Featuring Quavo",2630,31
"Intergalactic","Beastie Boys",1094,18
"interlude","J. Cole",207,3
"Intermission Riff","Bernie Lowe Orchestra",112,4
"International Harvester","Craig Morgan",359,18
"International Love","Pitbull Featuring Chris Brown",1761,26
"Internet","Post Malone",43,1
"Into My Love","Greg Guidry",16,2
"Into My Secret","Alisha",4,1
"Into The Great Wide Open","Tom Petty And The Heartbreakers",26,5
"Into The Mystic","Johnny Rivers",299,8
"Into The Night","Benny Mardones",2116,37
"Into The Night","Santana Featuring Chad Kroeger",1279,21
"Into The Ocean","Blue October",784,20
"Into The Unknown","Idina Menzel & AURORA",336,12
"Into The Unknown","Panic! At The Disco",5,2
"Into You","Ariana Grande",1629,24
"Into You","Fabolous Featuring Tamia Or Ashanti",2118,26
"Into You","Giant Steps",204,8
"Into Your Arms","The Lemonheads",261,14
"Intro","J. Cole",48,1
"Intro","Meek Mill",46,1
"INTRO","DaBaby",332,6
"Intro (Hate On Me)","Meek Mill",65,1
"Introducing Me","Nick Jonas",9,1
"Intuition","Jewel",1226,20
"Invasion Of The Flat Booty B*****s","Too $hort",380,10
"Inventing Shadows","Dia Frampton",81,1
"Invincible (Theme From The Legend Of Billie Jean)","Pat Benatar",1098,17
"Invisible","Alison Moyet",778,17
"Invisible","Ashlee Simpson",237,4
"Invisible","Clay Aiken",724,20
"Invisible","Hunter Hayes",216,12
"Invisible Hands","Kim Carnes",497,13
"Invisible Man","98 Degrees",1987,28
"Invisible String","Taylor Swift",80,2
"Invisible Tears","The Ray Conniff Singers",297,10
"Invisible Touch","Genesis",1210,17
"Invitation To Dance","Kim Carnes",120,6
"Invitation To The Blues","Ray Price",9,1
"IOU","Arthur Baker Featuring Nikeeta",19,4
"iPHONE","DaBaby & Nicki Minaj",58,1
"Iridescent","Linkin Park",40,3
"Iris","Goo Goo Dolls",1048,14
"Iris","Phoebe & Maggie",44,1
"Iris","Sawyer Fredericks",1,1
"Iron Man","Black Sabbath",383,10
"Ironic","Alanis Morissette",2654,32
"Irreplaceable","Beyonce",2548,30
"Irresistable You","Bobby Peterson",5,1
"Irresistible","Cathy Dennis",248,12
"Irresistible","Fall Out Boy",406,14
"Irresistible","Jessica Simpson",1287,20
"Irresistible You","Bobby Darin",752,13
"Is A Blue Bird Blue","Conway Twitty",555,11
"Is Anybody Goin' To San Antone","Charley Pride",154,7
"Is Anybody Out There?","K'Naan Featuring Nelly Furtado",11,2
"Is It Any Wonder?","Keane",113,9
"Is It Because I'm Black","Syl Johnson",119,6
"Is It Good To You","Heavy D & The Boyz",1113,20
"Is It Love","J.J. Fad",31,5
"Is It Love","Mr. Mister",1096,17
"Is It Love That We're Missin'","Quincy Jones (feat. The Brothers Johnson)",244,10
